Ingrediente,Cantidad,Unidad,Costo
Aceite de Coco,360,ml,"4,400.00"
Aceite de Oliva,2000,ml,"13,000.00"
Agua,2000,ml,"1,000.00"
Bicarbonato de Sodio,1000,grs,"7,000.00"
Cacao Amargo,1000,grs,"14,000.00"
Chocolate Blanco,1000,grs,"14,000.00"
Chocolate Negro,1000,grs,"15,000.00"
Coco Rallado,1000,grs,"6,800.00"
Condimentos,1000,grs,"28,000.00"
Crema,1000,ml,"8,700.00"
Dulce de Leche Keto,1000,grs,"15,500.00"
Edulcorante Líquido,1000,ml,"6,400.00"
Endulzante en Polvo,200,unidades,"5,500.00"
Eritritol,1000,grs,"20,000.00"
Goma Xántica,200,ml,"5,000.00"
Harina de Almendra,1000,grs,"4,500.00"
Harina de Coco,1000,grs,"5,400.00"
Huevo,30,unidades,"6,200.00"
Limón,5,unidades,"3,590.00"
Manteca,1000,grs,"14,000.00"
Mermelada Frutos Rojos,420,grs,"7,000.00"
Mozzarella,1000,grs,"12,000.00"
Palta,1,unidad,"1,000.00"
Polvo de Hornear,500,grs,"5,000.00"
Queso Crema,1000,grs,"7,000.00"
Queso Rallado,1000,grs,"7,000.00"
Sal Fina,1000,grs,"2,540.00"
Semilla Chía,1000,grs,"7,000.00"
Semillas Mixtas,1000,grs,"4,500.00"
Vainilla,1000,ml,"3,100.00"
Vinagre de Alcohol,1000,ml,"1,300.00"
Zanahoria,1000,grs,"2,000.00"
Pote,1,unidad,300.00
Bandeja Aluminio,20,unidades,"5,830.00"
